Name,Rating,Review
Amazon Customer,5.0 out of 5 stars,Boy am I glad I am living this day and age rather than 50-100 years from now! Just a coincidence that I happened to watch the first season of Black Mirror on Netflix and I was chilled to think that it may end up that way given how articulately Prof Harari puts it. Humans becoming data points and then dissolving like clumps of mud in the river flow of data. But Homo Sapiens do seem to have a deathwish and this accelerating data driven world may indeed mean the end of Homo Sapiens. Both these books are right up there with the most thought provoking books I have ever read. Prof Harari take a bow - just blows the mid away with the breadth of his knowledge and the expanse of his canvas.
Amazon customer,5.0 out of 5 stars,Enough is said about the book and the author.. all I can tell is .. if you don't have an imagination or not creative enough this book will be wasted on you .. some things will seem farfetched .. The author is well know to be a Vipassana practitioner.. A lot of those concepts have been added here .. makes sense .. The book came in good shape .. original copy ..
Chitrak Gupta,5.0 out of 5 stars,This is the most important book i read in last five years. It traces our confused present to a very probable future when we shall be either extinct or redundant. A book for everyone to read and discuss. The mad rush to the kingdom of Data for incremental happinesses is well decrbed. Where do we go from here? Te book asks this question and leaves humanity to answer or choose oblivion.
Ranajit Banerjee,5.0 out of 5 stars,Same as it's predecessor this book also discusses the workings and logic of the human society as a whole and ponders over what will happen in the near future. Great book for those who love be challenged often. I would also advise to read Sapiens first before reading this book
Abhi,5.0 out of 5 stars,A must read in a lifetime !I took quite sometime to read this because the information and analysis was done over years of study with references from many papers/journals/conferences.Enjoyed the book thoroughly and cheers to Yuval Noah Harari for this masterpiece.Book Quality is great.Delivery on time.
Avtar Singh,5.0 out of 5 stars,"Books : Sapiens and Homo Deus are certainly eye openers for people living in shadows, gives you clear view of how the world came to be as it is today, these two books should be in Top 100 Must Reads, Please buy both of these, do not miss either one, read sapiens first and then deus"
Amazon Customer,5.0 out of 5 stars,Thought provoking. Amazing way of raising controversial and disturbing questions by providing indeniable and well researched historic as well as contemporary proof points. Must read the Sapiens book before reading this one in order to understand the thought process. It expanded and enriched my views of my own life and the world. It has also created a healthy confusion in my mind about our existence and behavior. I intend to work upon it to gain clarity and modify my existence for better.
General customer,5.0 out of 5 stars,"An excellent account of some of the possible and plausible scenarios of human evolution in near future. The author's analysis of bio engineering, possibility of designer babies combined with algorithm based artificial intelligence and other intelligent technology advances are very lucidly and convincingly presented. The style and manner of the narrative is gripping and the data presented are overwhelming. The hacking of human brain even within the present technological systems and regimes is a scary thought and seems to be already coming true. While the author has not touched upon the topics of dark energy and matter, we dont know what they have in store for us.The book leaves one wondering how our children and grandchildren would navigate this world. Nature and her magic are still completely unpredictable, for every new solution she tends to throw up many more problems. This is a book that must be read by every one to understand where we stand today."
@gtk,5.0 out of 5 stars,"Brilliant !. Another great book after Sapiens.Excellent mix of past, present, and future. Different perspectives on many articles. A wide range of possibilities presented about future.It does not have the easy flow like Sapiens, but this one is more ""exciting"" to read."
saswat.s.nayak,5.0 out of 5 stars,"Well this book will widen your perspective much like ""Homo sapiens"" did, it should become your bible if you're an atheist although we're all religious in some way or the other according to the definition of religion given by the book :P"
Amazon Customer,5.0 out of 5 stars,Boy am I glad I am living this day and age rather than 50-100 years from now! Just a coincidence that I happened to watch the first season of Black Mirror on Netflix and I was chilled to think that it may end up that way given how articulately Prof Harari puts it. Humans becoming data points and then dissolving like clumps of mud in the river flow of data. But Homo Sapiens do seem to have a deathwish and this accelerating data driven world may indeed mean the end of Homo Sapiens. Both these books are right up there with the most thought provoking books I have ever read. Prof Harari take a bow - just blows the mid away with the breadth of his knowledge and the expanse of his canvas.
Amazon customer,5.0 out of 5 stars,Enough is said about the book and the author.. all I can tell is .. if you don't have an imagination or not creative enough this book will be wasted on you .. some things will seem farfetched .. The author is well know to be a Vipassana practitioner.. A lot of those concepts have been added here .. makes sense .. The book came in good shape .. original copy ..
Chitrak Gupta,5.0 out of 5 stars,This is the most important book i read in last five years. It traces our confused present to a very probable future when we shall be either extinct or redundant. A book for everyone to read and discuss. The mad rush to the kingdom of Data for incremental happinesses is well decrbed. Where do we go from here? Te book asks this question and leaves humanity to answer or choose oblivion.
Ranajit Banerjee,5.0 out of 5 stars,Same as it's predecessor this book also discusses the workings and logic of the human society as a whole and ponders over what will happen in the near future. Great book for those who love be challenged often. I would also advise to read Sapiens first before reading this book
Abhi,5.0 out of 5 stars,A must read in a lifetime !I took quite sometime to read this because the information and analysis was done over years of study with references from many papers/journals/conferences.Enjoyed the book thoroughly and cheers to Yuval Noah Harari for this masterpiece.Book Quality is great.Delivery on time.
Avtar Singh,5.0 out of 5 stars,"Books : Sapiens and Homo Deus are certainly eye openers for people living in shadows, gives you clear view of how the world came to be as it is today, these two books should be in Top 100 Must Reads, Please buy both of these, do not miss either one, read sapiens first and then deus"
Amazon Customer,5.0 out of 5 stars,Thought provoking. Amazing way of raising controversial and disturbing questions by providing indeniable and well researched historic as well as contemporary proof points. Must read the Sapiens book before reading this one in order to understand the thought process. It expanded and enriched my views of my own life and the world. It has also created a healthy confusion in my mind about our existence and behavior. I intend to work upon it to gain clarity and modify my existence for better.
General customer,5.0 out of 5 stars,"An excellent account of some of the possible and plausible scenarios of human evolution in near future. The author's analysis of bio engineering, possibility of designer babies combined with algorithm based artificial intelligence and other intelligent technology advances are very lucidly and convincingly presented. The style and manner of the narrative is gripping and the data presented are overwhelming. The hacking of human brain even within the present technological systems and regimes is a scary thought and seems to be already coming true. While the author has not touched upon the topics of dark energy and matter, we dont know what they have in store for us.The book leaves one wondering how our children and grandchildren would navigate this world. Nature and her magic are still completely unpredictable, for every new solution she tends to throw up many more problems. This is a book that must be read by every one to understand where we stand today."
@gtk,5.0 out of 5 stars,"Brilliant !. Another great book after Sapiens.Excellent mix of past, present, and future. Different perspectives on many articles. A wide range of possibilities presented about future.It does not have the easy flow like Sapiens, but this one is more ""exciting"" to read."
saswat.s.nayak,5.0 out of 5 stars,"Well this book will widen your perspective much like ""Homo sapiens"" did, it should become your bible if you're an atheist although we're all religious in some way or the other according to the definition of religion given by the book :P"
