Name,Rating,Review
Deepak Kumar samal,5.0 out of 5 stars,"The price of this classic varied like thisHighest price-99₹Lowest price-47₹(37₹ on great Indian sale 28/09/2019)Font size-mediumMy rating-4.6/5It's a Hollywood movie now starring Leonardo DiCaprioFollow me, interesting stuffs coming soonI would like to know if you find this review helpfulAbout novel:It is a story about Jay Gatsby and his journey: a man who comes from nothing who changes his name and his fortune through hard work and good fortune and bending the rules to achieve success. He's immersed in hope-- hope that he'll find Daisy, hope that she'll come to him in the end, but what happens in the end? Does he really achieve that dream?Throughout the novel, Fitzgerald shows people at various stages of pursuing their dream of something, be it wealth or love or success of some kind. Are they happy? Have they really achieved what they set out to achieve? Or are they like Gatsby's books in his library: to appear as if the owner is erudite and well-read, but upon closer examination, un-opened and un-readAbout me:NovelsI can help you to buy novels at it's lowest price as I keep all the details of it on different days including Amazon great Indian sell,Prime day offer, lightening sell,Diwali sell etc. e.g A Thousands of Splendid Suns rate was like this 399_1/7,424_3/7,290_3/7,②0⑨_8/7,but i bought this at 290...from 424₹ to 209₹ you can understand how it differs in price.. I can also share my wish list of different genres which is bias free and experimented by me to buy you popular books"
kuber s.,1.0 out of 5 stars,I think Fingerprint publishing lacks in adequate infra for Printing. Got the book with 15 blank pages. Do they expect me to imagine what would have been on those pages and read on?
Fatima,5.0 out of 5 stars,"A MASTERPIECE, The size, the font, everything is really magnificent, I'm really glad that I bought this book, this is my first novel I will ever read, the way this novel is written sounds really simple that anyone can understand, I am quite sure that this book going to improve my English, I was scared of some reviews, but I gave myself a chance and Oredered, and I feel I am really lucky that I did, I have watched the movie many time, and I will always come back to watch again, I hope this will happen to book as well :D , thank you seller, thank you amazon <3"
divya Kishore,4.0 out of 5 stars,"This book was quite different from what I expected it to be.The opulent world does not completely consume you but it surely does give you a lot to think about.Jay Gatsby is a character to remember by all the people who fall in love. It speaks a lot about social prejudice, if one is keen about reading in between the lines. The narrator (Nick Carraway), has a peculiarly skeptic way of keeping your attention.All in all it is a good read."
Mohammad Faizan Khan,5.0 out of 5 stars,"Have you read this epic piece of classic till now, or watched the movie based upon it's plot? Luckily, don't know how but I didn't watch the movie so I read the novel straightway. I picked it couple of days ago and finished reading it joyfully but now I'm going to enjoy the movie. Onething, I want to make sure that if you compare the books from Movies (based on same plot), always Books go ahead on the way, coz of imagination (for readers), way of narration, detailed plot and many more.* Book Recommendation *~The Great Gatsby- By F. Scott Fitzgerald.""I hope she'll be a fool -- that's the best thing a girl can be in this world, a beautiful little fool.""~The great fiction writer of American history and epic classic novel of all time. The book is full pack of classic fiction, romance, and a bit of everything you want to have in a perfect book for smooth read. The story revolves around the protagonist, a graduate who served in the war from the west and worked as a novel's narrator, and a great mysterious character, Gatsby.""Angry, and half in love with her, and tremendously sorry, I turned away.""~Strongly recommend to every reader who wants to pick the next classic fiction for great piece of literature and narration."
SHIVANI,3.0 out of 5 stars,Nice book
Hitesh kumawat,4.0 out of 5 stars,"Over drinks, I’ve observed—like so many smart alecks—that much of The Great Gatsby’s popularity relies heavily on its shortness. At a sparse 180 pages, Fitzgerald’s masterpiece could be argued to be the “Great American novella.” Gatsby, like so many other short classics, is easily readable, re-readable, and assessable to everyone from the attention-deficient young to mothers juggling a kid, a career, and a long-held desire to catch up on all those books “they should have read but haven’t gotten around to yet”.I’ve now read Gatsby three times, and I admit that on my first reading during (like handfuls of others) my senior year English class, I wasn’t particularly fond of the book; I believe I used the adjective “overrated” on numerous occasions. Daisy Buchanan seemed like a twit of a woman, and I found Jay Gatsby to be pathetically clawing in his attempt to attain her. Nick, my guide, only annoyed me further with his apparent hero-worshiping of a man I found one-dimensional and his adoration for the kind of woman I’ve seen other men purport to be goddesses, but in fact, are dim-witted simpletons with nice figures.Over my two subsequent readings—pushed along by friends whose judgment I trusted and who swore the book was “so funny and ironic”—I discovered within Fitzgerald’s fable a sardonic social wit and a heavily layered critique of the American Dream: the poor, working (wo)man rising above his or her social situation to discover money conquers all.Fitzgerald has a discerning ability for sharp critiques of the economically privileged and, like Jane Austin, has an ear for realistic, bantering dialogue. Through Nick’s narration, we see a world that so many Americans dream of (its enviableness only further accentuated by our open disdain for it): a life of endless parties, delicious food, beautiful clothes, and Paris Hilton. Nick who’s paradoxically drawn to his cousin, Daisy’s, and her husband, Tom’s, lifestyle with gloating contempt echoes the contemporary American idolization of an elite lifestyle that none but a select few attain.We watch Daisy with her voice that “sounds of money” flit about with uncompromising shallowness and vivacious school-girl frivolity, and through her, see so many of the inconsequential remarks and actions others (as well as ourselves) have made for the sheer sake of “having a good time”. In spite of her frivolity and weak disposition, we become, like Gatsby, “overwhelmingly aware of the youth and mystery that wealth imprisons and preserves, of the freshness of many clothes, and of Daisy, gleaming like silver, safe and proud above the hot struggles of the poor.”Through Gatsby’s veneration of Daisy, we not only imagine what so many Americans desire (success), but also we see the goal and glittering fixation of all humanity: beauty. And like many Americans in the throes of Capitalism, Gatsby believes that money can buy beauty as well as love. Fitzgerald articulates this disillusion with haunting force, particularly voiced through Nick’s obsessive repulsion with the extravagant society his social status has allowed him and the sadness he finds while watching a “working man” attempt to enter it.One critique of The Great Gatsby, which could also be argued as a positive, is the limited scope of action and themes Fitzgerald chooses to encapsulate. We only see the wealthy elite (or people wanting to be the wealthy elite), and only Nick really has any depth of characterization. Unlike a tome, such as War and Peace, Gatsby fails to have numerous interwoven plotlines within a grand historical context. Yes, the Jazz Age is the novel’s backdrop, but Fitzgerald fails to engage in any discussion beyond a summer among the wealthy youth partying into the wee hours of the night in the West Egg. Yet, the control with which Fitzgerald expresses his limited themes makes the novel’s lack of scope forgivable.Gatsby is short and easily accessible, and I have no doubt these aspects of the novel do lend to its everlasting popularity. At the same time, it should never diminish its truly admirable ability to tease apart some of the most confounding qualities American culture values: money, beauty, youth, hard work, and the ever effusive, love."
Ayisha Thakkar,3.0 out of 5 stars,Well the first thing which i liked about this book was it keep its readers engaged till the end..To know how you need to read this book...i didnt find Gatsby that interesting in respect to the suspense which was created in the beginning of the novel.. Also not much incidents occured till we reach the end .. Its d diction;narrative style & beautiful description by the writer which keeps the reader engaged to the story.. Not a big love story though.. Beautifully depicts the then culture & society...overall its a beautiful art..
Hip hop king,5.0 out of 5 stars,"Font size, binding,  page quality, cover quality everything is just marvellous.... fingerprint pub. have done a great job... got it for 55 rs.. that's a very good price.. surely you can not get better price ......"
Amit Bharti,5.0 out of 5 stars,"An enthusiastically penned down in 20th century story with a gold platted and flourished with every lavish lifestyle on Earth. A story whose plot based in New York City and some of its deep past belongs to World War scenario. ""Over the great bridge, the city seen from the Queensboro Bridge is always the city seen for the first time, in its firstwild promise of all the mystery and the beauty in the world."".The author has portrayed the narration through Nick Carraway's observation. Daisy, a most charismatic lady of Louisville. Story has impeded around her confronting two gentlemen Tom Buchanan and Jay Gatsby. This is where all story sums up in most appeasing way. How this all get entangled in the summer of West Coast to East Egg.Nick's second cousin Daisy got married with Tom Buchanan in Chicago and for some reason they came to settle in East Coast. As we proceed, the story becomes tempting and get into an inevitable twist. Jay Gatsby is the major character of this story as he has shown with great and an inherited royalty but story deems to somewhere else..How this story shows that wealth can't get everything that what you want to make and on the side it greatly depicts with serene depth that what exactly matters and plays great role in human life either it is about Idealism or Materialism..I like the narration and detailed writing as author has penned so many things with such a grace that one can't left this book in between. Climax is really what the current era fiction books lacks. It diverts and make one to feel that sometimes it's hard to erase past and move forward in life.In my attempt of reading as I am non fiction reader I tend to look more about lesson and live to read and extract the hidden meanings from between the lines. My major focus was on Gatsby that his unconditional love brought him to a place where he would never expected."
